number,name,address,phone,gos_reestr_code,website,IIN,BIN,gosreestr_link,statsnet_link,city,system_score,Good,Bad,user_score
TK-0166,Туристическое агентство MAGIC LAMP,Рудный Ленина 149,8 (714) 314-88-88,ТА - 162,https://instagram.com/magic_lamp_rdn?igshid=qu24d3n8v4kb,,,,https://statsnet.co/search/kz/Туристическое%20агентство%20MAGIC%20LAMP,Рудный,77,,,3.46
TK-0167,Magic Тур,"Алматы пр. Жибек жолы,135",8 (777) 729-40-83,ТА-098  от 20.04.2015 г.,http://www.travelagent.kz,,,,https://statsnet.co/search/kz/Magic%20Тур,Алматы,77,,,3.38
TK-0168,Pro100tourastana ,Астана пр Богенбай батыр 43/2,8 (777) 116-20-00,KZ43UWG00000226,http://PRO100TOUR.KZ,,,,https://statsnet.co/search/kz/Pro100tourastana,Астана,77,,,3.48
TK-0169,TourBar,Алматы Розыбакиева 247/2 офис187,8 (727) 339-20-50,ТА-295 от 11.05.2010,,,,,https://statsnet.co/search/kz/TourBar,Алматы,67,,,2.74
TK-0170,The Tour,Астана Мангилик ел 20/2 БЦ Азамат 704 офис ,87476866981,№KZ18UWG00002325,http://www.thetour.kz,,090340006510,https://www.goszakup.gov.kz/ru/registry/show_supplier/10123,https://statsnet.co/search/kz/The%20Tour,Астана,100,,,4.28
TK-0171,ИЛАНА-ТУР,"Актау 8 МИКРОРАЙОН, ЗДАНИЕ 3/1",7 (771) 838-38-37,KZ4UWG00002190,http://НЕТ,,,,https://statsnet.co/search/kz/ИЛАНА-ТУР,Актау,77,,,2.66
TK-0173,Туристическое агентство QazTravel,Алматы г. Алматы ул. Розыбакиева 214 н.п.  34 ,8 (718) 268-05-40,KZ03UWG00000752,https://www.instagram.com/qaztravel_pvl/,,,,https://statsnet.co/search/kz/Туристическое%20агентство%20QazTravel,Алматы,77,,,3.95
TK-0174,Фест,"Павлодар пл.Победы 25, каб.310",8 (718) 277-01-17,ТА-0060,,,190640012309,https://www.goszakup.gov.kz/ru/registry/show_supplier/621097,https://statsnet.co/search/kz/Фест,Павлодар,90,,,2.25
TK-0175,«Air Travel & Tourism»,Алматы Желтоксан 96  офис 223,7 (701) 912-50-55,KZ72UWG00002032,https://www.instagram.com/airtraveltourism/,,,,https://statsnet.co/search/kz/«Air%20Travel%20&%20Tourism»,Алматы,77,,,2.17
TK-0176,Туристская компания Тегерек тур,Павлодар ул.Ак.Сатпаева 59-33,8 (718) 266-61-82,ТА-1036 от 24.02.2012,http://tegerek.kz/,,,,https://statsnet.co/search/kz/Туристская%20компания%20Тегерек%20тур,Павлодар,77,,,1.84
TK-0177,Международная туристическая компания VLETO,Астана Тарас Шевченко 10/1 вп1 этаж 2 офис 5,8 (701) 062-77-66,KZ86UWG00002071 от 13 сентября ,http://www.vleto.kz,,,,https://statsnet.co/search/kz/Международная%20туристическая%20компания%20VLETO,Астана,77,,,3.82
TK-0178,«TOUR-AVIA EXPRESS»,"Павлодар ул. Катаева, 9",7 (705) 260-89-89,ТА-1995 от 14.05.2014 г.,,,,,https://statsnet.co/search/kz/«TOUR-AVIA%20EXPRESS»,Павлодар,67,,,2.33
TK-0180,Чемодан №7,"Астана Проспект Менгилик ел, дом 17, кв. 130",7 (747) 094-71-75,KZ46UWG00002015,https://chemodan.kz/,,,,https://statsnet.co/search/kz/Чемодан%20№7,Астана,77,,,1.74
TK-0181,Universal Travel Ltd,Алматы панфилова 64 ,7 (701) 324-34-66,№0000858 (прил.0000741),,,,,https://statsnet.co/search/kz/Universal%20Travel%20Ltd,Алматы,67,,,3.8
TK-0182,START,"Актау БЦ Алтын Орда, 1 этаж, 104 кабинет",7 (707) 199-10-19,KZ75UWG00002269,,,120140012823,https://www.goszakup.gov.kz/ru/registry/show_supplier/685316,https://statsnet.co/search/kz/START,Актау,90,,,3.19
TK-0183,GoldenTravel,Актау 6А мкр-н зд 11/3 Ai Mei,+7 777 630 8288,KZ47UWG00002191,,,,,https://statsnet.co/search/kz/GoldenTravel,Актау,67,,,3.34
TK-0184,Сеть Турагентств 257 № 6,"Астана район Алматы,пр Магжан Жумабаев 3/1,кв 67",7 (717) 272-56-22,KZ31UWG00002091,http://257.kz,,,,https://statsnet.co/search/kz/Сеть%20Турагентств%20257%20№%206,Астана,77,,,3.84
TK-0186,Queenox Tour,Астана Сыганак 47;Еуроцентр офис 522,7 (701) 555-61-67,KZ92UWG00000896,,,,,https://statsnet.co/search/kz/Queenox%20Tour,Астана,67,,,3.25
TK-0187,TRANSAVIA TOUR KZ,"Алматы Алматы, ул.Наурызбай батыра, 99/1 оф 1",7 (727) 248-09-96,TA-391 от 22.05.2017 г.,http://transtour.kz,,,,https://statsnet.co/search/kz/TRANSAVIA%20TOUR%20KZ,Алматы,77,,,2.54
TK-0188,Family Tour,Алматы Байзакова 222 офис 87,87273788572,ТА-1014 от от 17.02.2012,,,,,https://statsnet.co/search/kz/Family%20Tour,Алматы,67,,,3.09
TK-0189,KHAN-TURAN TRAVEL,"Алматы АЛМАТЫ, ТОЛЕ БИ 110 ОФИС 104",7 (701) 204-34-39,KZ41UWG00002396,,,,,https://statsnet.co/search/kz/KHAN-TURAN%20TRAVEL,Алматы,67,,,1.61
TK-0190,Сеть Турагентств 257 № 13,"Алматы ул. Маркова, д. 61/1",7 (777) 000-33-31,KZ54UWG00002162,http://257.kz,,,,https://statsnet.co/search/kz/Сеть%20Турагентств%20257%20№%2013,Алматы,77,,,3.98
TK-0191,Apple Tour,"Атырау Сатпаева 17, Резиденция Ардагер ",7 (712) 276-67-66,KZ90UWG00001611,,,,,https://statsnet.co/search/kz/Apple%20Tour,Атырау,67,,,3.57
TK-0192,ВОЯЖ / VOYAGE,"Усть-Каменогорск А.Чехова, 37",87776532613,KZ86UWG00002362,http://qazvoyage.kz,,,,https://statsnet.co/search/kz/ВОЯЖ%20/%20VOYAGE,Усть-Каменогорск,77,,,4.32
TK-0193,Туристическая компания Мир прекрасен,"Астана ул. Янушкевича, д. 1, нп 13",7 (701) 221-33-66,ТА-1660,http://mirkz.kz,,,,https://statsnet.co/search/kz/Туристическая%20компания%20Мир%20прекрасен,Астана,77,,,2.05
TK-0194,Easy Travel,Атырау проспект Азаттык 27,7 (702) 299-90-00,ТА-1217 от 17.07.2012,http://www.easytravel.kz,,,,https://statsnet.co/search/kz/Easy%20Travel,Атырау,77,,,4.39
TK-0198,Malibu Travel,"Алматы ул.Мынбаева,46,офис 122",+7 (727) 392‒28‒30,ТА-1761 от 11.11.2013,,,,,https://statsnet.co/search/kz/Malibu%20Travel,Алматы,67,,,2.04
TK-0199,Туристическая компания ПЛАНЕТА.KZ-2010,Атырау ул.Гизат Алипова 3,+7 7122 304747,ТА-122 от 06.05.2015 г.,http://www.atyrauplaneta.kz,,,,https://statsnet.co/search/kz/Туристическая%20компания%20ПЛАНЕТА.KZ-2010,Атырау,77,,,4.26
TK-0200,"Gala Tour-U, LTD",Алматы Республики площадь 13,7 (777) 734-44-62,ТА № 285 от 01.04.2003,,,,,"https://statsnet.co/search/kz/Gala%20Tour-U,%20LTD",Алматы,67,,,1.67
TK-0201,Luxe Travel,Караганда ул. Гоголя 34А,8 (747) 590-65-37,KZ89UWG00000950,https://www.instagram.com/luxe_travel_agency/,,,,https://statsnet.co/search/kz/Luxe%20Travel,Караганда,77,,,4.45
TK-0202,AmAr travel,"Алматы ул. Толе би 202 а, офис 602",8 (707) 444-47-03,KZ02UWG00001643,,,,,https://statsnet.co/search/kz/AmAr%20travel,Алматы,67,,,2.41
TK-0203,Aladdin Travel,Астана УЛ ПЕТРОВА 18 ОФИС 509,8 (771) 999-61-91,KZ82UWG00001561,,,,,https://statsnet.co/search/kz/Aladdin%20Travel,Астана,67,,,3.22
TK-0204,Клуб Путешествий Globus Travel,Актобе пр. Абулхаир хана 68/38,7 (713) 290-78-85,ТА-958 от 19.01.2012,,,,,https://statsnet.co/search/kz/Клуб%20Путешествий%20Globus%20Travel,Актобе,67,,,1.57
TK-0205,SKY-TRAVEL,"Экибастуз М.ЖУСУПА, 53 В-1 ЭТАЖ, ТД «КАМИЛА»",8 (718) 734-81-07,ТА-862 от 17.10.2011,,,,,https://statsnet.co/search/kz/SKY-TRAVEL,Экибастуз,67,,,1.52
TK-0206,Туркомпания Тогас-интурсервис,Семей ул.Дулатова 145,8 (747) 094-11-20,KZ47UWG00001706,http://togastour.kz,,,,https://statsnet.co/search/kz/Туркомпания%20Тогас-интурсервис,Семей,77,,,3.8
TK-0207,Leo Service,Алматы Желтоксан. 37 офис 2Д,7 (727) 279-22-89,ТА-1430 от 07.03.2013,http://leoservce.kz,,,,https://statsnet.co/search/kz/Leo%20Service,Алматы,77,,,2.3
TK-0208,ТУРАГЕНТСТВО МИР,Актобе АКТОБЕ 11 МКР 112 Д ОФИС 231,8 (701) 400-75-25,ТА-0075065 от 17.10.2008 г.,,,,,https://statsnet.co/search/kz/ТУРАГЕНТСТВО%20МИР,Актобе,67,,,2.57
TK-0215,Nicetour,"Астана пр.Улы Дала, 11/3, ВП7",87770117000,ТА-1010 от 17.02.2012,http://www.nicetour.kz,,,,https://statsnet.co/search/kz/Nicetour,Астана,77,,,2.11
TK-0216,SUNNY TOUR,"Астана ул.Керей Жанибек хандар 18,БЦ Самал",7 (717) 248-15-48,KZ54UWG00002356,,,,,https://statsnet.co/search/kz/SUNNY%20TOUR,Астана,67,,,3.52
TK-0217,"Агентство путешествий Suraiya Travel
","Атырау ул. Гурьевская, д.5Б, офис 2
","7 (701) 770-59-25
","KZ88UWG00000192
","https://www.instagram.com/suraiya_travel_atyrau/?hl=ru
",,,,https://statsnet.co/search/kz/Агентство%20путешествий%20Suraiya%20Travel,Атырау,77,,,3.86
TK-0218,СТА 24/7,"Астана ​БЦ Uly Dala Plaza​Улица Беимбет Майлин, 37",7 (771) 033-40-40,KZ67UWG00002122,https://247travel.kz/,,,,https://statsnet.co/search/kz/СТА%2024/7,Астана,77,,,2.17
TK-0219,AIVIS TRAVEL,"Тараз улица Казыбек Би,115,оф.6",7 (708) 717-10-85,ТА-1636 от 15.07.2013,http://www.aivistravel.kz,,,,https://statsnet.co/search/kz/AIVIS%20TRAVEL,Тараз,77,,,3.28
TK-0220,Национальная Туристическая Компания R-TOUR.KZ,Караганда Аманжолова 30 офис 23,7 (775) 850-31-23,KZ57UWG00002690,http://www.r-tour.kz,,,,https://statsnet.co/search/kz/Национальная%20Туристическая%20Компания%20R-TOUR.KZ,Караганда,77,,,2.13
TK-0221,«Aydana Tour Almaty»,Алматы ул. Ауэзова  129,7 (727) 344-95-99,KZ48UWG00002658,http://aydanatour.kz,,,,https://statsnet.co/search/kz/«Aydana%20Tour%20Almaty»,Алматы,77,,,4.43
TK-0222,Millennium Travel,"Алматы Улица Байтурсынова, 68, ​6 офис; 1 этаж​",7 (727) 292-44-27,KZ15UWG00001894,http://www.millennium.kz,,,,https://statsnet.co/search/kz/Millennium%20Travel,Алматы,77,,,3.25
TK-0223,Агентство комфортных путешествий Арт-Трэвел,Алматы ул.Тимирязева 15 Б,8 (727) 244-58-01,ТА-402 13.06.2017 г.,https://art-travel.kz,,,,https://statsnet.co/search/kz/Агентство%20комфортных%20путешествий%20Арт-Трэвел,Алматы,77,,,2.36
TK-0225,Study&Travel,Шымкент Аскарова 7 офис 2,8 (725) 297-54-47,KZ61UWG00002715,http://study_travel1(instagram),,,,https://statsnet.co/search/kz/Study&Travel,Шымкент,77,,,1.76
TK-0226,GuVa tour KZ,Экибастуз Мухтара Ауэзова 49В,8 (776) 556-50-00,KZ49UWG00000312,http://guva tour,,,,https://statsnet.co/search/kz/GuVa%20tour%20KZ,Экибастуз,77,,,4.09
TK-0229,Сеть Турагентств 257 №12,"Уральск Бурлинский район, город Аксай, Микрорайон 5, дом 18, кв. 36",8 (705) 126-28-74,KZ41UWG00002784,http://257.kz,,,,https://statsnet.co/search/kz/Сеть%20Турагентств%20257%20№12,Уральск,77,,,2.75
TK-0230,Golden Travel Astana,"Астана Дом Министерств, Мангилик Ел 8, Блок 18В",7 (701) 520-21-41,KZ59UWG00002848,,,,,https://statsnet.co/search/kz/Golden%20Travel%20Astana,Астана,67,,,3.18
TK-0231,Сеть Турагентств 257 № 15,"Костанай Костанайский район, поселок Затобольск, улица Новая, дом 39",7 (776) 100-11-88,KZ45UWG00002809,http://257.kz,,,,https://statsnet.co/search/kz/Сеть%20Турагентств%20257%20№%2015,Костанай,77,,,4.0
TK-0232,Авиатурагенство Акку,Алматы Райымбека 120 124 оф 68,7 (701) 715-74-71,KZ11UWG00003033,http://akkutour.kz,,,,https://statsnet.co/search/kz/Авиатурагенство%20Акку,Алматы,77,,,2.63
TK-0233,"ТА Вокруг Света
","Шымкент 18 мкр д 24 офис 2
","7 (707) 754-57-32
","ТА-1822 от 17.01.2014
","http://
",,,,https://statsnet.co/search/kz/ТА%20Вокруг%20Света,Шымкент,77,,,2.88
TK-0234,«Eurasia tour»,Караганда проспект Нуркена Абдирова 3 офис 103,7 (775) 732-32-22,TA-1495 от 09.04.2013г.,https://www.instagram.com/eurasia_tour_krg/,,,,https://statsnet.co/search/kz/«Eurasia%20tour»,Караганда,77,,,4.05
TK-0235,Арт Туризм,"Алматы Абая 30 офис 6 этаж 3 ,",7 (700) 500-05-35,KZ19UWG00002829,https://art-turizm.kz/,,,,https://statsnet.co/search/kz/Арт%20Туризм,Алматы,77,,,3.23
TK-0236,Турагентство АУМ-ТУР,"Актобе ТЦ Гранд, Маресьева 88 В,офис 7",8 (708) 471-35-39,KZ25UWG00002005,,,,,https://statsnet.co/search/kz/Турагентство%20АУМ-ТУР,Актобе,67,,,1.86
TK-0237,Акниет,Павлодар ул.Майры 43/9,8 (701) 365-44-45,KZ46UWG00001821,http://akniettour.kz/,,140740001714,https://www.goszakup.gov.kz/ru/registry/show_supplier/28765,https://statsnet.co/search/kz/Акниет,Павлодар,100,,,1.77
TK-0238,Сеть Турагентств Чемодан № 11,Шымкент  проспект Тауке хана 60,8 (701) 800-09-51,KZ32UWG00002849,https://chemodan.kz/,,,,https://statsnet.co/search/kz/Сеть%20Турагентств%20Чемодан%20№%2011,Шымкент,77,,,3.3
TK-0239,FARDJI,"Алматы Калдаякова, 41 оф 9",8 (727) 291-80-24,ТА-002 от 12.03.09г. № 0134134,http://fardji.kz,,,,https://statsnet.co/search/kz/FARDJI,Алматы,77,,,3.99
TK-0241,EASY FLY AKTAU,"Актау 14 мкр, здание К7 group",7 (747) 224-47-07,KZ06UWG00000989,http://@easy_fly_aktau,,,,https://statsnet.co/search/kz/EASY%20FLY%20AKTAU,Актау,77,,,1.96
TK-0242,ИП NGTOUR,"Караганда пр.Бухар Жырау 36, 2",8 (721) 242-58-85,ТА-1068 от 02.04.2012,http://www.ngtour.kz,,,,https://statsnet.co/search/kz/ИП%20NGTOUR,Караганда,77,,,2.51
TK-0243,Alliance Trio Tour,"Актау 5 микрорайон,здание 17/1,офис 8",8 (702) 644-25-46,10100293766149,,,,,https://statsnet.co/search/kz/Alliance%20Trio%20Tour,Актау,67,,,4.26
TK-0244,DREAM TRAVEL AKTAU,"Актау БЦ Жастар,415 офис",7 (701) 350-59-25,KZ92UWG00002545	,http://-,,,,https://statsnet.co/search/kz/DREAM%20TRAVEL%20AKTAU,Актау,77,,,3.85
TK-0245,Aydana Tour,"Актобе РК, Актобе, А. Молдагуловой 30Б, нп 1А",7 (713) 241-20-20,KZ26UWG00000241,http://aydanatour.kz,,,,https://statsnet.co/search/kz/Aydana%20Tour,Актобе,77,,,4.3
TK-0246,Шымтур,"Шымкент пр. Республики, 43",7 (725) 256-02-26,KZ08UWG00000953,http://www.shymtour.com,,071140014088,https://www.goszakup.gov.kz/ru/registry/show_supplier/419623,https://statsnet.co/search/kz/Шымтур,Шымкент,100,,,3.57
TK-0247,BJN Travel,Астана Амман 8 БЦ Милано офис 105,7 (701) 791-81-15,KZ31UWG00001121,,,,,https://statsnet.co/search/kz/BJN%20Travel,Астана,67,,,3.24
TK-0248,Hit Travel,"Алматы микрорайон-10А, д. 13 оф. 4",7 (727) 302-90-72,ТА-1545 от 08.05.2013,http://www.hittravel.kz,,,,https://statsnet.co/search/kz/Hit%20Travel,Алматы,77,,,1.78
TK-0249,AiTour,"Астана пр. Республики 33, 1 этаж, 13 офис",7 (701) 888-56-22,KZ12UWG00000105,http://aitour.kz,,,,https://statsnet.co/search/kz/AiTour,Астана,77,,,2.23
TK-0250,Bounty Tour,Алматы Абая 68/74 офис 208,7 (777) 230-19-30,0000916(прил.0000705) от10.06.05,http://bounty-tour.online,,,,https://statsnet.co/search/kz/Bounty%20Tour,Алматы,77,,,2.11
TK-0251,ATLANTIS TRAVEL INTERNATIONAL,"Алматы г. Алматы, пр.Гагарина 12, офис 190  ",7 (727) 248-43-44,ТА-1937 от 11.04.2014,,,,,https://statsnet.co/search/kz/ATLANTIS%20TRAVEL%20INTERNATIONAL,Алматы,67,,,4.39
TK-0252,Palma travel,Алматы ул.Жолдасбекова 9а,8 (701) 776-57-79,KZ73UWG00001820,http://www.palmatravel.kz ,,,,https://statsnet.co/search/kz/Palma%20travel,Алматы,77,,,3.37
TK-0256,HOT TOUR / ХОТ ТУР,Алматы пр. Сейфуллина 498 оф. 202,8 (727) 310 14 14,KZ14UWG00001330,https://hottour.kz/,,,,https://statsnet.co/search/kz/HOT%20TOUR%20/%20ХОТ%20ТУР,Алматы,77,,,1.92
TK-0257,Геотур,"Усть-Каменогорск ул. Тохтарова, 54-3",8 7232 262534,ТА №039 от 19.01.2002,http://@geotour_ukg,,,,https://statsnet.co/search/kz/Геотур,Усть-Каменогорск,77,,,2.82
TK-0258,Желтый чемодан,Актау 3 микрорайон 18 дом,+77074514031,KZ30UWG00000266,,,,,https://statsnet.co/search/kz/Желтый%20чемодан,Актау,67,,,2.6
TK-0259,HOT TOUR / ХОТ ТУР,Алматы  пр. Сейфуллина 498 оф. 202,+7 (7172) 97 20 20,KZ11UWG00003421,https://hottour.kz/,,,,https://statsnet.co/search/kz/HOT%20TOUR%20/%20ХОТ%20ТУР,Алматы,77,,,3.08
TK-0260,GREEN VOYAGES,Алматы пр. Абая 155 офис 2,+77078957586,ТА-441 от 29.08.2017 г.,https://greenvoyages.kz,,,,https://statsnet.co/search/kz/GREEN%20VOYAGES,Алматы,77,,,3.58
TK-0262,EURASIA TRAVEL AGENCY,"Семей Кабанбай Батыра 26, офис 103",+7 705 261 1068,ТА-779 от 20.07.2011,http://www.eurotravel.kz,,,,https://statsnet.co/search/kz/EURASIA%20TRAVEL%20AGENCY,Семей,77,,,3.82
TK-0263,ПЯТЬ ЗВЕЗД,Атырау пр Азаттык 46-19,+77122777777,KZ51UWG00002410,http://www.5zvezdatyrau.kz,,130340009189,https://www.goszakup.gov.kz/ru/registry/show_supplier/364441,https://statsnet.co/search/kz/ПЯТЬ%20ЗВЕЗД,Атырау,100,,,3.11
TK-0264,ТОО FALCON FLIGHT,"Алматы Богенбай батыр,132",8 (701) 347-88-96,ТА № 453 от 26.05.2004,http://www.flf.kz,,,,https://statsnet.co/search/kz/ТОО%20FALCON%20FLIGHT,Алматы,77,,,2.34
TK-0265,OSTravel Agency,Каскелен улица Наурызбая 92/2,+77273001736,KZ15UWG00002961,http://www.ostravel.kz,,,,https://statsnet.co/search/kz/OSTravel%20Agency,Каскелен,77,,,4.14
TK-0266,7 Travel Company,"Алматы БЦ BAYZAK, пр. Абая, 52 В, 2 этаж, офис 211",+77273175687,KZ15UWG00001506,http://7travel.kz,,,,https://statsnet.co/search/kz/7%20Travel%20Company,Алматы,77,,,2.4
TK-0268,Туристическое агентство МЕГА ТУР,Костанай ул. Тәуелсіздік 83,+77773020109,Та-11 №0099915 от 27.02.2008г.,,,,,https://statsnet.co/search/kz/Туристическое%20агентство%20МЕГА%20ТУР,Костанай,67,,,2.96
TK-0269,"ИП Алем Тур
","Уральск Самарская 99
","7 (701) 264-08-99
","KZ70UWG00000225
","http://
",,,,https://statsnet.co/search/kz/ИП%20Алем%20Тур,Уральск,77,,,3.31
TK-0270,Talisman Travel Company,"Астана Туран, 50, БЦ Кристал, 2 этаж, офис 209-2", 7 (700) 749-44-24,KZ79UWG00002391,https://talismancompany.kz/,,,,https://statsnet.co/search/kz/Talisman%20Travel%20Company,Астана,77,,,1.75
TK-0271,Intour.kz,Астана ул.Кабанбай Батыра 49,+77751577114,KZ69UWG00002668,http://intour.kz/,,,,https://statsnet.co/search/kz/Intour.kz,Астана,77,,,2.17
TK-0272,ЖАППАС ТРЭВЕЛ,"Атырау ул Абая 16а,15",87786484860,KZ58UWG00001120,https://taplink.cc/zhappastravel,,,,https://statsnet.co/search/kz/ЖАППАС%20ТРЭВЕЛ,Атырау,77,,,4.01
TK-0273,ITS touristik,"Алматы ул. Жандарбекова, 238 БЦ Аблай офис 238",87789005017,KZ23UWG00003787,http://itstouristik.kz/,,,,https://statsnet.co/search/kz/ITS%20touristik,Алматы,77,,,2.97
TK-0274,Travel Shop,"Астана БЦ А, ул. Сыганак, 54А офис 310",+7 7761565041,KZ86UWG00003623,,,,,https://statsnet.co/search/kz/Travel%20Shop,Астана,67,,,4.19
TK-0275,Алим тур ,Алматы Маркова 28 А,+77086686755,KZ19UWG00000464,http://alimtour.kz/,,,,https://statsnet.co/search/kz/Алим%20тур,Алматы,77,,,3.89
TK-0276,today.travel,"Алматы Курмангазы, 143, н.п 36, 87470944545",87750300900 ,KZ58UWG00004224,https://today.travel/,,,,https://statsnet.co/search/kz/today.travel,Алматы,77,,,3.11
TK-0277,СИТИ-ТРЕВЕЛ,"Петропавловск ул. С.Муканова, 53, оф. 21",+77152320510,№ 0004355 от 05.04.2005г,http://www.ctravel.kz,,,,https://statsnet.co/search/kz/СИТИ-ТРЕВЕЛ,Петропавловск,77,,,1.63
TK-0278,Luxury Tours,"Астана проспект Туран дом 43/1, НП-9, ",87017764490;456998,ТА-1755 от 05.11.2013г. ,https://instagram.com/luxury_tours_?igshid=OGQ5ZDc2ODk2ZA==,,,,https://statsnet.co/search/kz/Luxury%20Tours,Астана,77,,,2.12
TK-0279,ТОО Dana Travel KZ,Астана улица Кабанбай батыра 48/1,+77756032523,KZ22UWG00004290,https://instagram.com/dana_travel_kz?igshid=NWRhNmQxMjQ=,,,,https://statsnet.co/search/kz/ТОО%20Dana%20Travel%20KZ,Астана,77,,,4.0
TK-0282,MANGO tour,"Караганда Tаттимбета 9, офис 1",+77055979731,KZ60UWG00004576,https://mangotourkz.com,,,,https://statsnet.co/search/kz/MANGO%20tour,Караганда,77,,,3.73
TK-0284, Premium club travel,"Астана ​Улица Сыганак, 54а​1303 офис; 13 этаж​",+7 (777) 145-59-84,NKZ18UWG00001258,,,,,https://statsnet.co/search/kz/%20Premium%20club%20travel,Астана,67,,,4.21
TK-0285,Бюро путешествий «ВСЁ ВКЛЮЧЕНО»  ,"Астана Кайым Мухамедханов 9, нп 3",+7 705 754 00 41,KZ80UWG00004701,,,,,https://statsnet.co/search/kz/Бюро%20путешествий%20«ВСЁ%20ВКЛЮЧЕНО»,Астана,67,,,2.83
TK-0286,"Exclusive Travel 
","Атырау Ул.Жарбосынова 89а, БЦ БАЙ-ТАЛ, 3 этаж, офис 8
","+77023739363
","KZ12UWG00003209
",https://instagram.com/exclusive_travel.atyrau?utm_medium=copy_li,,,,https://statsnet.co/search/kz/Exclusive%20Travel,Атырау,77,,,2.14
TK-0288,INDI TRAVEL,Алматы ул Жарокова 191,87272745549,KZ45UWG00003779,http://indi-travel.kz,,,,https://statsnet.co/search/kz/INDI%20TRAVEL,Алматы,77,,,3.59
TK-0289,"Travel Tech
","Алматы Алматы, Абылай хана 81, офис 503а
","+7 700 205 50 00
","KZ07UWG00003978
","http://
",,,,https://statsnet.co/search/kz/Travel%20Tech,Алматы,77,,,1.62
TK-0292,"ТОО BABY TOUR
","Семей Республика Казахстан, ВКО, г. Семей, ул. Чайжунусова, 131 А
",+7 (700) 098 76 51,"KZ81UWG00004198
","http://www.baby-tour.kz
",,,,https://statsnet.co/search/kz/ТОО%20BABY%20TOUR,Семей,77,,,4.32
TK-0295,"Супермаркет отдыха
","Павлодар ул. Ак. Сатпаева, 29
","8 (776) 802-33-22
","TA-076 от 14.04.2015
","http://tourmarket.kz/
",,,,https://statsnet.co/search/kz/Супермаркет%20отдыха,Павлодар,77,,,3.01
TK-0296,"Гермес-Тур
","Уральск Республика Казахстан, г. Уральск, ул. Курмангазы, 167, офис Гермес-Тур
","+7(701)390-39-33
","KZ76UWG00003318
","http://
",,,,https://statsnet.co/search/kz/Гермес-Тур,Уральск,77,,,2.6
TK-0297,"Web Tours
","Алматы ул. Розыбакиева, 289/2
","87002221022
","KZ79UWG00004816
","http://www.webtours.kz
",,,,https://statsnet.co/search/kz/Web%20Tours,Алматы,77,,,3.8
TK-0298,NURLY TRAVEL.KZ,"Астана пр.Женис 1, офис 50, ТД Арман",+77172390225,ТА-256 от 06.05.2016,,,,,https://statsnet.co/search/kz/NURLY%20TRAVEL.KZ,Астана,67,,,1.64
TK-0299,ТОО Rich Travel,Алматы ул. Макатаева 2,87051119960,KZ31UWG00002770,http://www.richtravel.kz,,,,https://statsnet.co/search/kz/ТОО%20Rich%20Travel,Алматы,77,,,3.27
TK-0300,Lechu.kz,Астана пр.Кабанбай батыра 9 ,87773882227,KZ95UWG00004334,http://www.lechu.kz,,,,https://statsnet.co/search/kz/Lechu.kz,Астана,77,,,1.96
TK-0301,SUNRISE,Актау 4 А мкр. Здание 48. БЦ Ата-мура. Офис 107,+77053334949,KZ69UWG00001213,,,,,https://statsnet.co/search/kz/SUNRISE,Актау,67,,,4.27
TK-0302,GROSS TOUR,Караганда Бухар Жырау 57/1 офис 810,+77017159616,ТА-361 от 15.02.2017 г.,https://www.instagram.com/grosstour/,,,,https://statsnet.co/search/kz/GROSS%20TOUR,Караганда,77,,,3.73
TK-0303,BE FREE and TRAVEL,Караганда Бирюзова 5,87069070001,KZ82UWG00004956,,,,,https://statsnet.co/search/kz/BE%20FREE%20and%20TRAVEL,Караганда,67,,,2.49
TK-0304,AKNIET TOUR,"Павлодар Павлодар г.а., Павлодар, улица Астана 139, офис 17",87013654445,KZ80UWG00004895,https://www.instagram.com/turfirma_akniet/,,,,https://statsnet.co/search/kz/AKNIET%20TOUR,Павлодар,77,,,1.89
TK-0305,«VIP-Travel»,"Усть-Каменогорск пр.Назарбаева, 5",+77059652303,TA 0029489,,,,,https://statsnet.co/search/kz/«VIP-Travel»,Усть-Каменогорск,67,,,4.47
TK-0306,TurSultanTravel,"Астана РК, г. Нур-Султан, улица Елубая Тайбекова, дом 80",+77754503330,KZ03UWG00003565,https://tursultan.kz/,,,,https://statsnet.co/search/kz/TurSultanTravel,Астана,77,,,4.38
TK-0307,Premium tour,"Алматы пр. Абылай хана 105, офис 9",+7 (705) 5505474,ТА-1458,http://www.premiumtour.kz,,,,https://statsnet.co/search/kz/Premium%20tour,Алматы,77,,,2.06
TK-0308,ТОО «Holliday Globus (Холлидэй Глобус)»,"Алматы PK, г. Алматы, ул.Сатпаева 30/8, кб.160",87000222233,ТА-457,,,,,https://statsnet.co/search/kz/ТОО%20«Holliday%20Globus%20(Холлидэй%20Глобус)»,Алматы,67,,,3.3
TK-0310,ТОО Ailan Tour,"Алматы переулок Шумный 2, офис 211, БЦ Qstaf",+77024444472,№ ТА-051 от 03.04.2015 г.,http://www.ailantour.kz,,,,https://statsnet.co/search/kz/ТОО%20Ailan%20Tour,Алматы,77,,,3.9
TK-0311,турагентство Юпитер,"Караганда Bukhar Jyrau 49/6, 203 офис",+77021486604,KZ16UWG00000906,,,,,https://statsnet.co/search/kz/турагентство%20Юпитер,Караганда,67,,,4.31
